ambient,coolant,u_d,u_q,motor_speed,torque,i_d,i_q,pm,stator_yoke,stator_tooth,stator_winding,profile_id
-0.7101051,-1.0956013,0.18967363,1.6692971,2.0179384,-0.2676504,-0.8774112,-0.25689152,-2.4740646,-1.8106163,-2.005864,-1.9728341,4
-0.70501614,-1.0955964,0.18876334,1.6708361,2.0196881,-0.26702723,-0.8774635,-0.2566056,-2.4699037,-1.8094355,-2.0029297,-1.9725481,4
-0.70039487,-1.095593,0.18878022,1.6722667,2.0209446,-0.2690406,-0.8769501,-0.2565429,-2.47148,-1.8077824,-2.0006354,-1.9723432,4
-0.6968597,-1.0955906,0.1897826,1.6725128,2.0218446,-0.26934198,-0.87748986,-0.25683716,-2.4698436,-1.8073999,-1.998408,-1.9721963,4
-0.6958078,-1.0955243,0.18874152,1.6708579,2.022489,-0.26838166,-0.8774819,-0.25685963,-2.4633884,-1.8071098,-1.9961268,-1.9698604,4
-0.7068239,-1.095505,0.18844128,1.6696936,2.0229523,-0.2683439,-0.8781091,-0.25667456,-2.4601743,-1.8061228,-1.9935927,-1.9691596,4
-0.71834284,-1.0955274,0.18786596,1.6714712,2.023283,-0.26741984,-0.87708527,-0.25631124,-2.4576173,-1.8041892,-1.9913725,-1.9691638,4
-0.72513217,-1.0955435,0.1892481,1.6725496,2.023514,-0.26836276,-0.8766453,-0.25687784,-2.455718,-1.8024138,-1.9897815,-1.9694946,4
-0.7235041,-1.0955336,0.18766734,1.6734626,2.0236883,-0.26840144,-0.8757478,-0.25626028,-2.453573,-1.8013608,-1.9886416,-1.9671495,4
-0.7228978,-1.0955144,0.18957523,1.6724972,2.0238168,-0.2688847,-0.87607396,-0.25659695,-2.4521365,-1.800863,-1.9878248,-1.9555322,4
-0.72354424,-1.0954145,0.19108059,1.6688644,2.0238962,-0.26838785,-0.8771809,-0.2573531,-2.4475222,-1.7998866,-1.9872396,-1.9411521,4
-0.71678203,-1.0953162,0.19093777,1.6688684,2.0239587,-0.27007434,-0.8770932,-0.257192,-2.444508,-1.797777,-1.9868202,-1.9297956,4
-0.7115234,-1.0953007,0.19153918,1.6696025,2.0240045,-0.27001202,-0.8767589,-0.25723007,-2.4388015,-1.7957803,-1.9865197,-1.9200099,4
-0.7076369,-1.0952709,0.19047324,1.6690459,2.0240366,-0.2678324,-0.8769391,-0.25711715,-2.437924,-1.7950805,-1.9863045,-1.9126673,4
-0.7060269,-1.0951179,0.19016711,1.6703286,2.0240586,-0.2667549,-0.8759115,-0.25695732,-2.4348488,-1.7943054,-1.9861501,-1.9059832,4
-0.7253078,-1.0949906,0.18944463,1.6707174,2.0240777,-0.2661171,-0.87492096,-0.25691852,-2.4358497,-1.7925256,-1.9860396,-1.8974564,4
-0.75868636,-1.0949237,0.18914415,1.6721534,2.024088,-0.26616177,-0.87400997,-0.2566749,-2.4362879,-1.7907867,-1.9859605,-1.8869901,4
-0.7959855,-1.0950261,0.18791415,1.6725055,2.0240984,-0.26709813,-0.8736755,-0.2564318,-2.4331887,-1.7896463,-1.9859036,-1.8760835,4
-0.8268205,-1.0951198,0.18752114,1.673877,2.0241015,-0.26509297,-0.87277603,-0.2563208,-2.4268034,-1.7890325,-1.985863,-1.8676821,4
-0.83686197,-1.0950862,0.18746859,1.674167,2.024106,-0.26596674,-0.87227,-0.25614953,-2.4278004,-1.7887496,-1.9858339,-1.8612562,4
-0.8332485,-1.0951548,0.18852086,1.6707709,2.0241094,-0.26793548,-0.87303525,-0.2565909,-2.426108,-1.788288,-1.985813,-1.8560934,4
-0.8321755,-1.095212,0.18803439,1.6724802,2.0241137,-0.2680707,-0.8721673,-0.2563782,-2.422589,-1.7876687,-1.985798,-1.852429,4
-0.8303567,-1.0952168,0.18779431,1.6737502,2.0241137,-0.26592392,-0.87144446,-0.2562839,-2.421853,-1.7867686,-1.9857873,-1.8476754,4
-0.81521124,-1.0952201,0.1860476,1.6765567,2.0241127,-0.2669129,-0.8697573,-0.25568494,-2.414959,-1.7861104,-1.9857795,-1.8437294,4
-0.8092741,-1.095287,0.18666567,1.6774088,2.0241134,-0.26555032,-0.86928004,-0.25577277,-2.4117308,-1.7856977,-1.984521,-1.8420974,4
