Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Yozgat Blues,Mahmut Fazil Coskun,6.8,2236,"
Comedy, Drama, Music            ",(2013)
Gise Memuru,Tolga Karaçelik,6.4,2208,"
Drama            ",(2010)
Son ders,Iraz Okumus,6.9,2194,"
Comedy, Drama            ",(2008)
Varyemez,Orhan Aksoy,6.7,2185,"
Comedy, Crime, Drama            ",(1991)
Le grand voyage,Ismaël Ferroukhi,7.2,2169,"
Drama, Romance            ",(2004)
En Büyük Saban,Kartal Tibet,6.8,2144,"
Comedy, Drama, Family            ",(1983)
Gölge Oyunu,Yavuz Turgul,7.9,2141,"
Drama, Fantasy            ",(1993)
Güz Sancisi,Tomris Giritlioglu,6.1,2117,"
Drama            ",(2009)
Köseyi Dönen Adam,Atif Yilmaz,7.1,2107,"
Comedy, Drama            ",(1978)
El-Cin,Hasan Karacadag,5.2,2104,"
Drama, Fantasy, Horror            ",(2013)
Düttürü Dünya,Zeki Ökten,7.4,2101,"
Drama            ",(1988)
Bekleme Odasi,Zeki Demirkubuz,6.5,2083,"
Drama            ",(2003)
Küçük Kiyamet,Durul Taylan,6.3,2052,"
Drama, Fantasy, Horror            ",(2006)
C Blok,Zeki Demirkubuz,6.2,2052,"
Drama            ",(1994)
Annemin Yarasi,Ozan Açiktan,7.4,2047,"
Drama, Mystery, War            ",(2016)
Pandora'nin kutusu,Yesim Ustaoglu,7.2,2043,"
Drama            ",(2008)
Labirent,Tolga Örnek,6.8,2039,"
Action, Crime, Drama            ",(2011)
Hemso,Ömer Ugur,4.7,2018,"
Comedy, Drama            ",(2001)
Kiraci,Orhan Aksoy,6.8,2001,"
Comedy, Drama            ",(1987)
Kisik Ateste 15 Dakika,Neco Çelik,6.2,1997,"
Comedy, Drama            ",(2006)
Erkek Güzeli Sefil Bilo,Ertem Egilmez,7.0,1980,"
Comedy, Drama            ",(1979)
Uzak Ihtimal,Mahmut Fazil Coskun,7.0,1976,"
Drama            ",(2009)
Abuzer Kadayif,Tunç Basaran,5.3,1973,"
Musical, Drama, Comedy            ",(2000)
Koltuk Belasi,Kartal Tibet,7.1,1948,"
Comedy, Drama            ",(1990)
Sofra sirlari,Ümit Ünal,6.9,1938,"
Comedy, Drama            ",(2017)
Vesikali Yarim,Lütfi Akad,8.0,1935,"
Drama, Romance            ",(1968)
Prensesin Uykusu,Çagan Irmak,6.7,1928,"
Comedy, Drama            ",(2010)
Bes Sehir,Onur Ünlü,7.1,1927,"
Drama            ",(2009)
