Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Yaban,Osman F. Seden,5.5,316,"
Drama, Romance            ",(1973)
4N1K 2,Murat Onbul,4.7,313,"
Comedy, Romance            ",(2018)
"Hayallerim, Askim ve Sen",Atif Yilmaz,7.1,312,"
Drama, Fantasy, Romance            ",(1987)
Cingöz Recai,Safa Önal,6.8,310,"
Adventure, Comedy, Romance            ",(1969)
Güllü,Atif Yilmaz,6.3,306,"
Comedy, Romance            ",(1971)
Arim balim petegim,Muzaffer Aslan,5.8,302,"
Drama, Musical, Romance            ",(1970)
Peri Masali,Biray Dalkiran,4.3,296,"
Romance            ",(2014)
Sizi seviyorum,Mustafa Ugur Yagcioglu,3.7,291,"
Comedy, Romance            ",(2009)
Arkadasim,Nazmi Özer,7.2,290,"
Drama, Romance            ",(1982)
Çok Uzak Fazla Yakin,Turkan Derya,4.6,283,"
Drama, Romance            ",(2016)
Hesapta Ask,Gonenc Uyanik,5.0,283,"
Comedy, Romance            ",(2016)
Baraj,Orhan Aksoy,6.8,280,"
Crime, Drama, Romance            ",(1977)
Fosforlu Cevriyem,Nejat Saydam,6.4,271,"
Romance            ",(1969)
Ask Nerede?,Semra Dündar,4.6,269,"
Comedy, Romance            ",(2015)
Deprem,Serif Gören,6.5,269,"
Drama, Romance, Thriller            ",(1976)
Peri tozu,Ela Alyamac,4.4,267,"
Drama, Romance            ",(2008)
Mahmut ile Meryem,Mehmet Ada Öztekin,5.7,264,"
Drama, Romance            ",(2013)
Çapkin hirsiz,Atif Yilmaz,6.2,261,"
Comedy, Romance            ",(1975)
Berdel,Atif Yilmaz,7.0,259,"
Drama, Family, Romance            ",(1990)
Efkarliyim abiler,Türker Inanoglu,6.8,251,"
Comedy, Romance            ",(1966)
Atesli çingene,Metin Erksan,5.9,248,"
Romance            ",(1969)
Serseri,Nuri Ergün,7.1,247,"
Comedy, Drama, Romance            ",(1967)
Ates Parçasi,Atif Yilmaz,6.8,242,"
Romance            ",(1971)
Kalbin zamani,Ali Özgentürk,4.8,241,"
Romance            ",(2004)
Yasemin,Hark Bohm,6.9,234,"
Drama, Romance            ",(1988)
Oglan Bizim Kiz Bizim,Semra Dündar,4.7,226,"
Comedy, Romance            ",(I) (2016)
Çalikusu,Osman F. Seden,6.6,223,"
Adventure, Drama, Romance            ",(1966)
Ask Üzerine Söylenmemis Her Sey,Ömer Kavur,6.9,222,"
Drama, Mystery, Romance            ",(1995)
Hayat bayram olsa,Orhan Aksoy,5.8,217,"
Comedy, Romance            ",(1973)
Her Sey Seninle Güzel,Cem Karci,3.6,216,"
Comedy, Romance            ",(2018)
Sana lâyik degilim,Osman F. Seden,7.2,215,"
Romance            ",(1965)
Ah güzel Istanbul,Ömer Kavur,6.6,212,"
Adventure, Drama, Romance            ",(1981)
Çirkinler de sever,Sinan Çetin,4.6,212,"
Comedy, Drama, Romance            ",(1982)
Yaz bekari,Osman F. Seden,6.4,211,"
Comedy, Romance            ",(1974)
Cennetin çocuklari,Kartal Tibet,7.0,211,"
Drama, Romance            ",(1977)
Baldiz,Temel Gürsu,5.6,210,"
Comedy, Romance            ",(1975)
Askin ikinci yarisi,Mehmet Aslantug,4.5,208,"
Drama, Romance            ",(2010)
Bizim kiz,Türker Inanoglu,5.9,207,"
Comedy, Romance            ",(1977)
Meleklerin mucizesi,Biray Dalkiran,3.6,204,"
Comedy, Romance            ",(2014)
Takim: Mahalle Askina!,Emre Sahin,6.2,202,"
Comedy, Drama, Romance            ",(2015)
Anochece en la India,Chema Rodríguez,6.0,202,"
Adventure, Drama, Romance            ",(2014)
Leyla ile Mecnun,Halit Refig,5.6,202,"
Drama, Romance            ",(1983)
Dinle neyden,Jacques Deschamps,5.2,199,"
Drama, Romance            ",(2008)
Ankara ekspresi,Muzaffer Aslan,6.2,198,"
Adventure, Drama, Romance            ",(1970)
Kinali Yapincak,Orhan Aksoy,5.8,196,"
Drama, Romance            ",(1969)
Eski Sevgili,Emir Khalilzadeh,4.0,194,"
Comedy, Romance            ",(2017)
Tatli Nigar,Orhan Aksoy,6.3,189,"
Drama, Romance            ",(1978)
Hindistan cevizi,Osman F. Seden,6.4,188,"
Comedy, Musical, Romance            ",(1967)
Sürgün,Erol Özlevi,5.5,185,"
Drama, History, Romance            ",(2013)
Herhangi bir kadin,Serif Gören,6.6,185,"
Adventure, Drama, Romance            ",(1981)
Tatli melegim,Mehmet Dinler,6.4,185,"
Comedy, Romance            ",(1970)
Neva,Can Arca,4.8,184,"
Drama, Romance            ",(2013)
Emine,Orhan Aksoy,6.3,184,"
Drama, Romance            ",(1971)
Menekse gözler,Atif Yilmaz,7.2,183,"
Musical, Romance            ",(1969)
Asrin kadini: Melek mi seytan mi,Mehmet Dinler,6.6,181,"
Romance            ",(1971)
Cevriyem,Memduh Ün,6.3,180,"
Drama, Romance            ",(1978)
Kizilirmak-Karakoyun,Lütfi Akad,7.1,179,"
Drama, Romance            ",(1967)
Kezban Paris'te,Orhan Aksoy,4.8,178,"
Romance            ",(1971)
Ayri Dünyalar,Orhan Aksoy,6.6,178,"
Romance            ",(1974)
Ask Oyunu,Umut Yüksel,4.2,177,"
Comedy, Romance            ",(2014)
Mavi Pansiyon,Nezih Unen,4.3,177,"
Drama, Romance            ",(2011)
Vahsi gelin,Osman F. Seden,6.1,176,"
Adventure, Comedy, Romance            ",(1978)
Üç arkadas,Memduh Ün,7.2,175,"
Drama, Romance            ",(1958)
Bir Demet Menekse,Zeki Ökten,6.7,174,"
Drama, Romance            ",(1973)
En Mutlu Oldugum Yer,Kagan Erturan,4.7,171,"
Adventure, Romance            ",(2010)
Kod Adi: Venüs,Tamer Garip,5.0,167,"
Action, Adventure, Romance            ",(2012)
Batsin bu dünya,Osman F. Seden,5.2,164,"
Drama, Romance            ",(1975)
Organik Ask Hikayeleri,Alpgiray M. Ugurlu,3.9,163,"
Comedy, Drama, Romance            ",(2017)
Ayin karanlik yüzü,Biket Ilhan,3.5,163,"
Drama, Romance            ",(2005)
Son hiçkirik,Ertem Egilmez,6.4,162,"
Drama, Romance            ",(1971)
Bos çerçeve,Ertem Egilmez,6.6,162,"
Drama, Romance            ",(1969)
Kayikçi,Biket Ilhan,5.1,161,"
Romance            ",(1999)
Dervis Bey,Serif Gören,6.6,160,"
Drama, Romance            ",(1978)
Bir ihtimal daha var,Ugur Uludag,4.2,158,"
Comedy, Drama, Romance            ",(2007)
Acele koca araniyor,Muzaffer Aslan,6.1,154,"
Comedy, Romance            ",(1975)
Satin alinan koca,Duygu Sagiroglu,6.1,154,"
Romance            ",(1971)
Pisi pisi,Zeki Ökten,6.6,152,"
Drama, Romance            ",(1975)
Kara kentin çocuklari - Losers of the Dark City,Orhan Oguz,6.9,150,"
Adventure, Drama, Romance            ",(2000)
Yanimda Kal,Mustafa Ugur Yagcioglu,6.4,149,"
Romance            ",(2018)
Aci,Yilmaz Güney,6.3,149,"
Drama, Romance            ",(1971)
Feride,Metin Erksan,5.4,148,"
Drama, Romance            ",(1971)
Senede bir gün,Ertem Egilmez,6.5,147,"
Drama, Romance            ",(1965)
Hasanboguldu,Orhan Aksoy,6.4,142,"
Drama, Romance            ",(1990)
Küçük sevgilim,Orhan Elmas,6.2,142,"
Drama, Romance            ",(1971)
Firtina,Nejat Saydam,6.0,141,"
Adventure, Drama, Romance            ",(1977)
Balatli Arif,Atif Yilmaz,6.8,141,"
Comedy, Drama, Romance            ",(1967)
Murat ile Nazli,Memduh Ün,5.9,140,"
Drama, Romance            ",(1972)
Ehmedê Xanî'den: Mem û Zîn,Ümit Elçi,6.6,139,"
Drama, Romance            ",(1991)
Dul bir kadin,Atif Yilmaz,6.6,138,"
Romance            ",(1985)
Ates,Luk Piyes,6.2,137,"
Action, Drama, Romance            ",(2016)
Üç sevgili,Mehmet Dinler,5.8,137,"
Comedy, Romance            ",(1972)
Kadin degil bas belasi,Ülkü Erakalin,6.5,137,"
Comedy, Drama, Romance            ",(1968)
Artik sevmeyecegim,Muzaffer Aslan,5.2,136,"
Drama, Romance            ",(1968)
Ben de özledim,Nazmi Özer,4.4,135,"
Adventure, Drama, Romance            ",(1981)
Senlik var,Nejat Saydam,6.3,134,"
Comedy, Romance            ",(1974)
Nobat e Asheghi,Mohsen Makhmalbaf,6.5,133,"
Drama, Romance            ",(1995)
Zeyno,Atif Yilmaz,6.3,131,"
Drama, Romance            ",(1970)
Mahkum,Osman F. Seden,6.2,128,"
Adventure, Drama, Romance            ",(1972)
Oyun Bitti,Orhan Elmas,5.6,127,"
Comedy, Romance            ",(1972)
