Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Turist Ömer Uzay Yolu'nda,Hulki Saner,7.4,2971,"
Comedy, SciFi            ",(1973)
Doktor Civanim,Kartal Tibet,7.0,2970,"
Comedy            ",(1982)
Sultan,Kartal Tibet,7.6,2901,"
Family, Comedy, Romance            ",(1978)
Hirsiz Var!,Oguzhan Tercan,4.3,2888,"
Adventure, Comedy, Crime            ",(2005)
Gol Krali,Kartal Tibet,7.0,2873,"
Action, Comedy, Romance            ",(1981)
Kaçma Birader,Defne Deliormanli,7.0,2814,"
Comedy            ",(I) (2016)
Romantik Komedi 2: Bekarliga Veda,Erol Özlevi,5.2,2813,"
Comedy, Romance            ",(2013)
Çakallarla Dans 2: Hastasiyiz Dede,Murat Seker,4.7,2808,"
Comedy            ",(2012)
Muro: Nalet Olsun Içimdeki Insan Sevgisine,Zübeyr Sasmaz,3.9,2786,"
Comedy            ",(2008)
Sabaniye,Kartal Tibet,6.3,2786,"
Comedy, Drama, Romance            ",(1984)
Japon Isi,Kartal Tibet,6.1,2781,"
Comedy, Romance, SciFi            ",(1987)
Garip,Memduh Ün,7.1,2777,"
Comedy, Drama            ",(I) (1986)
Komser Sekspir,Sinan Çetin,5.8,2773,"
Comedy, Drama            ",(2000)
Ibo ile Güllüsah,Atif Yilmaz,6.2,2743,"
Comedy            ",(1977)
Sümela'nin Sifresi: Temel,Adem Kiliç,3.8,2737,"
Comedy            ",(2011)
Içimdeki Ses,Cagri Bayrak,6.0,2736,"
Comedy, Drama            ",(2015)
Celal Tan ve Ailesinin Asiri Acikli Hikayesi,Onur Ünlü,6.5,2730,"
Comedy, Crime, Drama            ",(2011)
Umudumuz Saban,Kartal Tibet,7.2,2722,"
Comedy            ",(1979)
Ask Tutulmasi,Murat Seker,5.6,2682,"
Comedy, Romance            ",(2008)
Küçük Esnaf,Bedran Güzel,5.6,2660,"
Action, Adventure, Comedy            ",(2016)
Deli Deli Küpeli,Kartal Tibet,7.3,2640,"
Comedy, Drama            ",(1986)
Kolpaçino 3. Devre,Safak Sezer,4.0,2631,"
Comedy            ",(I) (2016)
Kolonya Cumhuriyeti,Murat Kepez,5.9,2622,"
Comedy            ",(2017)
Sevimli Tehlikeli,Özcan Deniz,6.2,2619,"
Comedy, Romance            ",(2015)
Ali Kundilli,Bülent Isbilen,5.6,2615,"
Comedy            ",(2015)
Sosyete Saban,Kartal Tibet,7.0,2607,"
Comedy, Drama, Family            ",(1985)
Insan nedir ki?,Reha Erdem,7.6,2587,"
Comedy            ",(2004)
Nadide Hayat,Çagan Irmak,6.4,2571,"
Comedy            ",(2015)
Dedemin Fisi,Meltem Bozoflu,5.6,2567,"
Comedy, Family            ",(2016)
Ask Filmlerinin Unutulmaz Yönetmeni,Yavuz Turgul,7.8,2550,"
Comedy, Drama            ",(1990)
Kilibik,Ugur Inan,7.1,2506,"
Comedy, Drama            ",(1983)
Davaci,Zeki Ökten,7.2,2490,"
Comedy, Drama            ",(1986)
Tarzan Rifki,Natuk Baytan,6.6,2475,"
Comedy, Crime            ",(1986)
