Name,Director,IMDB Rating,Number Of Votes,Genres,Year
Pirdino Sürpriz Yumurta,Günay Köker,3.5,31,"
Animation, Adventure, Comedy            ",(I) (2015)
TED Rising,Bartu Atabek,6.9,31,"
Action, Adventure, SciFi            ",(2016)
Sen Aglama,Orhan Elmas,4.9,31,"
Adventure, Drama            ",(1987)
Kartal Murat,Cüneyt Arkin,5.8,31,"
Action, Adventure, Comedy            ",(1980)
Kara Orkun,Yücel Uçanoglu,5.4,31,"
Action, Adventure, History            ",(1973)
Pire Nuri,Yilmaz Güney,6.4,31,"
Action, Adventure            ",(1968)
Benim adim Kerim,Kemal Dilbaz,6.6,31,"
Adventure, Crime            ",(1967)
Dev kani,Çetin Inanç,4.1,31,"
Adventure, Drama            ",(1984)
Çilgin Kamp,Aram Gülyüz,3.6,30,"
Adventure, Family            ",(2015)
Çakircali Mehmet Efe,Yilmaz Atadeniz,6.4,30,"
Adventure, Biography, Drama            ",(1969)
Horasan'in üç atlisi,Tunç Basaran,6.4,30,"
Adventure            ",(1965)
Casus Kiran - 7 canli adam,Yilmaz Atadeniz,7.3,30,"
Action, Adventure, Crime            ",(1970)
Kanca,Melih Gülgen,5.2,30,"
Adventure            ",(1986)
Kapan,Seyid Çolak,8.4,29,"
Adventure, Mystery            ",(2018)
Kasimpasali Recep,Nuri Akinci,5.9,29,"
Adventure            ",(1965)
Firat,Melih Gülgen,7.0,28,"
Adventure, Drama, Romance            ",(1979)
Kanun gücü,Cüneyt Arkin,6.2,28,"
Adventure, Crime, Drama            ",(1979)
Istanbul kabadayisi kara murat,Kemal Kan,6.8,28,"
Adventure            ",(1972)
Altin Çocuk,Memduh Ün,6.9,28,"
Adventure, Crime            ",(1966)
Belanin krali,Yilmaz Atadeniz,3.5,28,"
Action, Adventure, Comedy            ",(1971)
Süper adam,Cavit Yürüklü,4.2,28,"
Adventure, Fantasy, SciFi            ",(1971)
Çifte tabancali kabadayi,Mehmet Aslan,7.0,28,"
Adventure, Drama            ",(1969)
Belanin yedi türlüsü,Nuri Ergün,6.1,28,"
Adventure, Crime, Drama            ",(1969)
Tek basina,Cüneyt Arkin,4.9,28,"
Adventure, Drama            ",(1976)
Kaplanlar,Çetin Inanç,3.2,28,"
Action, Adventure            ",(1985)
You Are Everything,Lena Geller,7.1,27,"
Adventure, Music, Romance            ",(2016)
Bedel,Melih Gülgen,6.2,27,"
Action, Adventure            ",(1983)
Düsman,Muzaffer Aslan,5.7,27,"
Adventure, Drama            ",(1973)
Aslan Bey,Yavuz Yalinkiliç,5.1,27,"
Adventure, War            ",(1968)
Silahlarin kanunu,Yilmaz Atadeniz,6.6,27,"
Action, Thriller, Adventure            ",(1966)
Erkekçe,Çetin Inanç,4.5,27,"
Action, Adventure, Comedy            ",(1983)
Bin defa ölürüm,Mehmet Aslan,5.8,27,"
Action, Adventure, Drama            ",(1969)
Kiskivrak,Halit Refig,5.6,26,"
Adventure, Crime, Drama            ",(1986)
Emanet,Yilmaz Atadeniz,3.7,26,"
Adventure, Drama            ",(II) (1988)
Isler karisik,Mehmet Dinler,5.3,26,"
Adventure, Comedy            ",(1970)
Cilali Ibo casuslar arasinda,Nuri Ergün,4.4,26,"
Adventure, Comedy            ",(1959)
Kafkas kartali,Yilmaz Atadeniz,6.0,26,"
Adventure, Drama, War            ",(1968)
Ankara casusu Çiçero,Mehmet Muhtar,8.4,26,"
Adventure, War            ",(1951)
Altar,Remzi Jöntürk,5.3,26,"
Adventure, Fantasy            ",(1985)
Kargaci Halil,Yavuz Yalinkiliç,6.6,26,"
Adventure, Drama            ",(1968)
Eyvah,Metin Erksan,5.5,26,"
Adventure, Crime, Drama            ",(1970)
Atesböcegi,Ismail Günes,6.8,26,"
Adventure, Drama, Romance            ",(1988)
Soysuzlar,Natuk Baytan,6.1,25,"
Action, Adventure, Drama            ",(1975)
Tehdit: Siber Coküs,Kadioglu Hakan,6.4,25,"
Action, Adventure, Crime            ",(2016)
Yedi uyuyanlar,Zafer Par,4.3,25,"
Action, Adventure, Crime            ",(1988)
Yarali aslan,Osman F. Seden,6.6,25,"
Adventure            ",(1963)
Aci intikam,Yilmaz Atadeniz,4.8,25,"
Adventure            ",(1968)
